ISO 639-3 code	FLORES lang codes	CC100 lang codes
uzb	uz	uz
ory	or	or
oci	oc	oc
kea	kea	q3
nso	ns	ns
lug	lg	lg
nep	ne	ne
lin	ln	ln
snd	sd	sd
hrv	hr	hr
bel	be	be
kam	kam	qx
tgl	tl	tl
ful	ff	ff
wol	wo	wo
asm	as	as
mar	mr	mr
zul	zu	zu
ast	ast	ast
xho	xh	xh
luo	luo	qy
pan	pa	pa
ibo	ig	ig
lao	lo	lo
kan	kn	kn
guj	gu	gu
orm	om	om
yor	yo	yo
bos	bs	bs
mri	mi	mi
umb	umb	qm
mya	my	my
pus	ps	ps
kur	ku	ku
gle	ga	ga
hau	ha	ha
amh	am	am
swh	sw	sw
som	so	so
tel	te	te
khm	km	km
ceb	ceb	cx
mal	ml	ml
tgk	tg	tg
mon	mn	mn
kir	ky	ky
afr	af	af
urd	ur	ur
kaz	kk	kk
cym	cy	cy
aze	az	az
sna	sn	sn
nya	ny	ny
msa	ms	ms
hye	hy	hy
tam	ta	ta
mkd	mk	mk
glg	gl	gl
isl	is	is
kat	ka	ka
jav	jv	jv
ben	bn	bn
hin	hi	hi
ltz	lb	lb
lav	lv	lv
est	et	et
slv	sl	sl
ukr	uk	uk
cat	ca	ca
mlt	mt	mt
fas	fa	fa
heb	he	he
lit	lt	lt
srp	sr	sr
kor	ko	ko
bul	bg	bg
slk	sk	sk
dan	da	da
tha	th	th
nob	no	no
fin	fi	fi
hun	hu	hu
ces	cs	cs
jpn	ja	ja
ell	el	el
ara	ar	ar
ron	ro	ro
vie	vi	vi
zho	zh	zh
ind	id	id
pol	pl	pl
tur	tr	tr
swe	sv	sv
nld	nl	nl
ita	it	it
rus	ru	ru
por	pt	pt
deu	de	de
fra	fr	fr
spa	es	es
